author_type,doc_id,noun_phrase,root_text,pre_nom,post_nom,start_idx,end_idx,root_idx,np_len,n_pre,n_post
chatgpt,chatgpt-200-1_002,social support levels,levels,NN,NA,51,53,53,3,2,0
chatgpt,chatgpt-200-1_002,we,we,NA,NA,55,55,55,1,0,0
chatgpt,chatgpt-200-1_002,significance testing,testing,NN,NA,58,59,59,2,1,0
chatgpt,chatgpt-200-1_002,higher social media usage,usage,NNS,NA,63,66,66,4,3,0
chatgpt,chatgpt-200-1_002,lower levels of perceived social support,levels,JJR,IN,70,75,71,6,1,4
chatgpt,chatgpt-200-1_002,The findings of this study,findings,DT,IN,77,81,78,5,1,3
chatgpt,chatgpt-200-1_002,a better understanding of the social dynamics influenced by social media,understanding,JJR,IN,85,95,87,11,2,8
chatgpt,chatgpt-200-1_002,insights into the implications for individual well-being and relationship satisfaction,insights,NA,IN,98,109,98,11,0,10
chatgpt,chatgpt-200-1_003,Mental health issues,issues,NN,NA,1,3,3,3,2,0
chatgpt,chatgpt-200-1_003,a significant concern,concern,JJ,NA,6,8,8,3,2,0
chatgpt,chatgpt-200-1_003,a rising prevalence globally,prevalence,VBG,RB,11,14,13,4,2,1
chatgpt,chatgpt-200-1_003,This research project,project,NN,NA,16,18,18,3,2,0
chatgpt,chatgpt-200-1_003,the impact of mindfulness-based interventions on mental well-being,impact,DT,IN,22,33,23,10,1,8
chatgpt,chatgpt-200-1_003,psychological assessments,assessments,JJ,NA,37,38,38,2,1,0
chatgpt,chatgpt-200-1_003,we,we,NA,NA,51,51,51,1,0,0
chatgpt,chatgpt-200-1_003,significance testing,testing,NN,NA,54,55,55,2,1,0
chatgpt,chatgpt-200-1_003,individuals who undergo mindfulness-based interventions experience,individuals,NA,WP,59,66,59,7,0,6
chatgpt,chatgpt-200-1_003,mental well-being,being,HYPH,NA,68,71,71,3,2,0
chatgpt,chatgpt-200-1_003,those who do not participate in such interventions,those,NA,WP,74,81,74,8,0,7
chatgpt,chatgpt-200-1_003,The findings of this study,findings,DT,IN,83,87,84,5,1,3
chatgpt,chatgpt-200-1_003,insights into the effectiveness of mindfulness-based approaches in promoting mental well-being and guide mental health practitioners in designing intervention programs,insights,NA,IN,90,113,90,22,0,21
chatgpt,chatgpt-200-1_004,The rise of online learning platforms,rise,DT,IN,1,6,2,6,1,4
chatgpt,chatgpt-200-1_004,the field of education,field,DT,IN,9,12,10,4,1,2
chatgpt,chatgpt-200-1_004,flexible and accessible learning opportunities,opportunities,NN,NA,15,19,19,5,4,0
chatgpt,chatgpt-200-1_004,This research project,project,NN,NA,21,23,23,3,2,0
chatgpt,chatgpt-200-1_004,the effectiveness of online learning in student outcomes,effectiveness,DT,IN,27,34,28,8,1,6
chatgpt,chatgpt-200-1_004,"student performance data, satisfaction surveys, and course completion rates",data,NN,NN,38,48,40,9,2,6
chatgpt,chatgpt-200-1_004,we,we,NA,NA,50,50,50,1,0,0
chatgpt,chatgpt-200-1_004,significance testing,testing,NN,NA,53,54,54,2,1,0
chatgpt,chatgpt-200-1_004,who,who,NA,NA,59,59,59,1,0,0
chatgpt,chatgpt-200-1_004,online learning experience,experience,NN,NA,62,64,64,3,2,0
chatgpt,chatgpt-200-1_004,those in traditional classroom settings,those,NA,IN,72,76,72,5,0,4
chatgpt,chatgpt-200-1_004,The findings of this study,findings,DT,IN,78,82,79,5,1,3
chatgpt,chatgpt-200-1_004,insights into the effectiveness of online learning,insights,NA,IN,85,91,85,7,0,6
chatgpt,chatgpt-200-1_004,educational institutions,institutions,JJ,NA,94,95,95,2,1,0
chatgpt,chatgpt-200-1_004,effective online learning environments,environments,VBG,NA,98,101,101,4,3,0
chatgpt,chatgpt-200-1_005,Mental health issues,issues,NN,NA,1,3,3,3,2,0
chatgpt,chatgpt-200-1_005,a global concern,concern,JJ,NA,6,8,8,3,2,0
chatgpt,chatgpt-200-1_005,individuals across various demographics,individuals,NA,IN,11,14,11,4,0,3
chatgpt,chatgpt-200-1_005,This research project,project,NN,NA,16,18,18,3,2,0
chatgpt,chatgpt-200-1_005,the impact of mindfulness-based interventions on mental well-being,impact,DT,IN,22,33,23,10,1,8
chatgpt,chatgpt-200-1_005,mental health assessments,assessments,NN,NA,37,39,39,3,2,0
chatgpt,chatgpt-200-1_005,we,we,NA,NA,52,52,52,1,0,0
chatgpt,chatgpt-200-1_005,significance testing,testing,NN,NA,55,56,56,2,1,0
chatgpt,chatgpt-200-1_005,individuals who engage in mindfulness-based interventions experience,individuals,NA,WP,60,68,60,8,0,7
chatgpt,chatgpt-200-1_005,mental well-being,being,HYPH,NA,70,73,73,3,2,0
chatgpt,chatgpt-200-1_005,"stress, anxiety, and depression",stress,NA,NN,78,83,78,4,0,3
chatgpt,chatgpt-200-1_005,those who do not engage in such interventions,those,NA,WP,86,93,86,8,0,7
chatgpt,chatgpt-200-1_005,The findings of this study,findings,DT,IN,95,99,96,5,1,3
chatgpt,chatgpt-200-1_005,insights into the effectiveness of mindfulness approaches in promoting mental well-being and guide mental health practitioners in designing evidence-based interventions,insights,NA,IN,102,125,102,22,0,21
chatgpt,chatgpt-200-1_006,Artificial intelligence,intelligence,JJ,NA,1,5,2,2,1,0
chatgpt,chatgpt-200-1_006,a transformative technology with the potential to revolutionize various industries,technology,NN,IN,9,18,11,10,2,7
chatgpt,chatgpt-200-1_006,This research project,project,NN,NA,20,22,22,3,2,0
chatgpt,chatgpt-200-1_006,the ethical implications of AI,implications,JJ,IN,26,30,28,5,2,2
chatgpt,chatgpt-200-1_006,decision-making processes,processes,VBG,NA,32,35,35,3,2,0
chatgpt,chatgpt-200-1_006,"ethical frameworks, decision outcomes, and stakeholder perceptions",frameworks,JJ,NN,39,47,40,7,1,5
chatgpt,chatgpt-200-1_006,we,we,NA,NA,49,49,49,1,0,0
chatgpt,chatgpt-200-1_006,significance testing,testing,NN,NA,52,53,53,2,1,0
chatgpt,chatgpt-200-1_006,AI-driven decision-making processes,processes,VBG,NA,57,63,63,5,4,0
chatgpt,chatgpt-200-1_006,fair and unbiased outcomes,outcomes,JJ,NA,66,69,69,4,3,0
chatgpt,chatgpt-200-1_006,traditional human-driven decision-making processes,processes,VBG,NA,72,79,79,6,5,0
chatgpt,chatgpt-200-1_006,The findings of this study,findings,DT,IN,81,85,82,5,1,3
chatgpt,chatgpt-200-1_006,insights into the ethical considerations of AI adoption,insights,NA,IN,88,95,88,8,0,7
chatgpt,chatgpt-200-1_006,policymakers and organizations,policymakers,NA,CC,98,100,98,3,0,2
chatgpt,chatgpt-200-1_006,responsible AI strategies,strategies,NNP,NA,103,105,105,3,2,0
chatgpt,chatgpt-200-1_007,Online learning,learning,JJ,NA,1,2,2,2,1,0
chatgpt,chatgpt-200-1_007,the wake of global events that have disrupted traditional educational systems,wake,DT,IN,10,20,11,11,1,9
chatgpt,chatgpt-200-1_007,This research project,project,NN,NA,22,24,24,3,2,0
chatgpt,chatgpt-200-1_007,the effectiveness of online learning,effectiveness,DT,IN,28,32,29,5,1,3
chatgpt,chatgpt-200-1_007,traditional classroom education,education,NN,NA,35,37,37,3,2,0
chatgpt,chatgpt-200-1_007,academic performance data and student satisfaction surveys,data,NN,CC,41,47,43,7,2,4
chatgpt,chatgpt-200-1_007,we,we,NA,NA,49,49,49,1,0,0
chatgpt,chatgpt-200-1_007,significance testing,testing,NN,NA,52,53,53,2,1,0
chatgpt,chatgpt-200-1_007,significant differences in learning outcomes and student engagement between online and traditional classroom settings,differences,JJ,IN,59,72,60,14,1,12
chatgpt,chatgpt-200-1_007,The findings of this study,findings,DT,IN,74,78,75,5,1,3
chatgpt,chatgpt-200-1_007,valuable insights,insights,JJ,NA,81,82,82,2,1,0
chatgpt,chatgpt-200-1_007,the strengths and limitations of online learning,strengths,DT,CC,84,90,85,7,1,5
chatgpt,chatgpt-200-1_007,educational institutions,institutions,JJ,NA,93,94,94,2,1,0
chatgpt,chatgpt-200-1_007,effective hybrid or fully online learning experiences,experiences,NN,NA,97,103,103,7,6,0
chatgpt,chatgpt-200-1_008,Consumer behavior,behavior,NN,NA,1,2,2,2,1,0
chatgpt,chatgpt-200-1_008,"various factors, including marketing techniques and psychological triggers",factors,JJ,VBG,6,14,7,8,1,6
chatgpt,chatgpt-200-1_008,This research project,project,NN,NA,16,18,18,3,2,0
chatgpt,chatgpt-200-1_008,the impact of color on consumer purchasing decisions,impact,DT,IN,22,29,23,8,1,6
chatgpt,chatgpt-200-1_008,experiments,experiments,NA,NA,33,33,33,1,0,0
chatgpt,chatgpt-200-1_008,data on consumer preferences and,data,NA,IN,36,40,36,5,0,4
chatgpt,chatgpt-200-1_008,patterns,patterns,NA,NA,42,42,42,1,0,0
chatgpt,chatgpt-200-1_008,we,we,NA,NA,44,44,44,1,0,0
chatgpt,chatgpt-200-1_008,significance testing,testing,NN,NA,47,48,48,2,1,0
chatgpt,chatgpt-200-1_008,color,color,NA,NA,52,52,52,1,0,0
chatgpt,chatgpt-200-1_008,"consumer perceptions, product evaluations, and",perceptions,NN,NN,54,60,55,5,1,3
chatgpt,chatgpt-200-1_008,intentions,intentions,NA,NA,62,62,62,1,0,0
chatgpt,chatgpt-200-1_008,The findings of this study,findings,DT,IN,64,68,65,5,1,3
chatgpt,chatgpt-200-1_008,insights into the role of color in marketing strategies,insights,NA,IN,71,79,71,9,0,8
chatgpt,chatgpt-200-1_008,businesses,businesses,NA,NA,82,82,82,1,0,0
chatgpt,chatgpt-200-1_008,color,color,NA,NA,86,86,86,1,0,0
chatgpt,chatgpt-200-1_008,consumer behavior,behavior,NN,NA,89,90,90,2,1,0
chatgpt,chatgpt-200-1_009,The tourism industry,industry,NN,NA,1,3,3,3,2,0
chatgpt,chatgpt-200-1_009,destination attractiveness and visitor experiences,attractiveness,NN,CC,7,11,8,5,1,3
chatgpt,chatgpt-200-1_009,This research project,project,NN,NA,13,15,15,3,2,0
chatgpt,chatgpt-200-1_009,the influence of cultural heritage preservation on tourist satisfaction and destination loyalty,influence,DT,IN,19,30,20,12,1,10
chatgpt,chatgpt-200-1_009,"tourist surveys, cultural heritage preservation efforts,",surveys,NN,JJ,34,41,35,6,1,4
chatgpt,chatgpt-200-1_009,visitation rates,rates,NN,NA,44,45,45,2,1,0
chatgpt,chatgpt-200-1_009,we,we,NA,NA,47,47,47,1,0,0
chatgpt,chatgpt-200-1_009,significance testing,testing,NN,NA,50,51,51,2,1,0
chatgpt,chatgpt-200-1_009,destinations with well-preserved cultural heritage sites,destinations,NA,IN,55,62,55,7,0,6
chatgpt,chatgpt-200-1_009,higher levels of tourist satisfaction and loyalty,levels,JJR,IN,64,70,65,7,1,5
chatgpt,chatgpt-200-1_009,those with less emphasis on cultural preservation,those,NA,IN,73,79,73,7,0,6
chatgpt,chatgpt-200-1_009,The findings of this study,findings,DT,IN,81,85,82,5,1,3
chatgpt,chatgpt-200-1_009,insights,insights,NA,NA,88,88,88,1,0,0
chatgpt,chatgpt-200-1_009,the importance of cultural heritage conservation in tourism,importance,DT,IN,90,97,91,8,1,6
chatgpt,chatgpt-200-1_009,destination management strategies,strategies,NN,NA,100,102,102,3,2,0
chatgpt,chatgpt-200-1_010,Aging populations,populations,VBG,NA,1,2,2,2,1,0
chatgpt,chatgpt-200-1_010,unique challenges for healthcare systems,challenges,JJ,IN,4,8,5,5,1,3
chatgpt,chatgpt-200-1_010,a comprehensive understanding of geriatric health and well-being,understanding,JJ,IN,11,20,13,9,2,6
chatgpt,chatgpt-200-1_010,This research project,project,NN,NA,22,24,24,3,2,0
chatgpt,chatgpt-200-1_010,the relationship between physical activity and cognitive function in older adults,relationship,DT,IN,28,38,29,11,1,9
chatgpt,chatgpt-200-1_010,"activity tracker data, cognitive assessments, and health records",data,NN,JJ,42,51,44,8,2,5
chatgpt,chatgpt-200-1_010,we,we,NA,NA,53,53,53,1,0,0
chatgpt,chatgpt-200-1_010,significance testing,testing,NN,NA,56,57,57,2,1,0
chatgpt,chatgpt-200-1_010,higher levels of physical activity,levels,JJR,IN,61,65,62,5,1,3
chatgpt,chatgpt-200-1_010,better cognitive function among older adults,function,JJ,IN,69,74,71,6,2,3
chatgpt,chatgpt-200-1_010,The findings of this study,findings,DT,IN,76,80,77,5,1,3
chatgpt,chatgpt-200-1_010,insights into the potential benefits of physical activity on cognitive aging and inform interventions aimed at promoting healthy aging,insights,NA,IN,83,101,83,19,0,18
chatgpt,chatgpt-200-1_011,Workplace stress,stress,NN,NA,1,2,2,2,1,0
chatgpt,chatgpt-200-1_011,a prevalent concern that can impact employee well-being and productivity,concern,JJ,WDT,4,15,6,11,2,8
chatgpt,chatgpt-200-1_011,This research project,project,NN,NA,17,19,19,3,2,0
chatgpt,chatgpt-200-1_011,the effects of workplace mindfulness programs on stress reduction,effects,DT,IN,23,31,24,9,1,7
chatgpt,chatgpt-200-1_011,"employee stress assessments, program participation records, and job performance metrics",assessments,NN,NN,35,46,37,10,2,7
chatgpt,chatgpt-200-1_011,we,we,NA,NA,48,48,48,1,0,0
chatgpt,chatgpt-200-1_011,significance testing,testing,NN,NA,51,52,52,2,1,0
chatgpt,chatgpt-200-1_011,employees who engage in workplace mindfulness programs,employees,NA,WP,56,62,56,7,0,6
chatgpt,chatgpt-200-1_011,lower levels of stress,levels,JJR,IN,64,67,65,4,1,2
chatgpt,chatgpt-200-1_011,those who do not participate in such programs,those,NA,WP,74,81,74,8,0,7
chatgpt,chatgpt-200-1_011,The findings of this study,findings,DT,IN,83,87,84,5,1,3
chatgpt,chatgpt-200-1_011,insights into the effectiveness of mindfulness interventions in managing workplace stress and inform organizations in promoting employee well-being,insights,NA,IN,90,109,90,19,0,18
chatgpt,chatgpt-200-1_012,Sports performance,performance,NNS,NA,1,2,2,2,1,0
chatgpt,chatgpt-200-1_012,"various factors, including physical fitness, psychological well-being, and training methods",factors,JJ,VBG,6,20,7,11,1,9
chatgpt,chatgpt-200-1_012,This research project,project,NN,NA,22,24,24,3,2,0
chatgpt,chatgpt-200-1_012,the relationship between mindfulness training and athletic performance,relationship,DT,IN,28,35,29,8,1,6
chatgpt,chatgpt-200-1_012,"performance data, psychological assessments, and mindfulness training records",data,NN,JJ,39,48,40,8,1,6
chatgpt,chatgpt-200-1_012,we,we,NA,NA,50,50,50,1,0,0
chatgpt,chatgpt-200-1_012,significance testing,testing,NN,NA,53,54,54,2,1,0
chatgpt,chatgpt-200-1_012,athletes who undergo mindfulness training demonstrate,athletes,NA,WP,58,63,58,6,0,5
chatgpt,chatgpt-200-1_012,those who do not engage in such training,those,NA,WP,68,75,68,8,0,7
chatgpt,chatgpt-200-1_012,The findings of this study,findings,DT,IN,77,81,78,5,1,3
chatgpt,chatgpt-200-1_012,insights into the potential benefits of mindfulness in sports performance and inform coaches and athletes in incorporating mindfulness techniques into their training routines,insights,NA,IN,84,106,84,23,0,22
chatgpt,chatgpt-200-1_013,The chosen topic for this project,topic,VBN,IN,1,6,3,6,2,3
chatgpt,chatgpt-200-1_013,the impact of social media usage on mental health among adolescents,impact,DT,IN,9,19,10,11,1,9
chatgpt,chatgpt-200-1_013,the widespread use of social media platforms among the younger generation,use,JJ,IN,22,32,24,11,2,8
chatgpt,chatgpt-200-1_013,concerns,concerns,NA,NA,34,34,34,1,0,0
chatgpt,chatgpt-200-1_013,its potential effects on psychological well-being,effects,JJ,IN,39,46,41,7,2,4
chatgpt,chatgpt-200-1_013,This research,research,DT,NA,48,49,49,2,1,0
chatgpt,chatgpt-200-1_013,the relationship between social media engagement and mental health outcomes,relationship,DT,IN,53,62,54,10,1,8
chatgpt,chatgpt-200-1_013,"variables such as self-esteem, anxiety, and depression",variables,NA,JJ,67,77,67,8,0,7
chatgpt,chatgpt-200-1_013,significance tests,tests,NN,NA,81,82,82,2,1,0
chatgpt,chatgpt-200-1_013,relevant data,data,JJ,NA,84,85,85,2,1,0
chatgpt,chatgpt-200-1_013,we,we,NA,NA,87,87,87,1,0,0
chatgpt,chatgpt-200-1_013,empirical evidence,evidence,JJ,NA,91,92,92,2,1,0
chatgpt,chatgpt-200-1_013,either support,support,CC,NA,94,95,95,2,1,0
chatgpt,chatgpt-200-1_013,the hypothesis that increased social media usage,hypothesis,DT,WDT,98,104,99,7,1,5
chatgpt,chatgpt-200-1_013,negative mental health outcomes,outcomes,NN,NA,108,111,111,4,3,0
chatgpt,chatgpt-200-1_013,these dynamics,dynamics,DT,NA,114,115,115,2,1,0
chatgpt,chatgpt-200-1_013,the development of strategies and interventions,development,DT,IN,119,124,120,6,1,4
chatgpt,chatgpt-200-1_013,healthier social media habits,habits,NNS,NA,127,130,130,4,3,0
chatgpt,chatgpt-200-1_013,adolescent mental well-being,being,HYPH,NA,133,137,137,4,3,0
chatgpt,chatgpt-200-1_014,Quality education,education,JJ,NA,1,2,2,2,1,0
chatgpt,chatgpt-200-1_014,individual development and societal progress,development,JJ,CC,6,10,7,5,1,3
chatgpt,chatgpt-200-1_014,This research project,project,NN,NA,12,14,14,3,2,0
chatgpt,chatgpt-200-1_014,the relationship between teacher-student interactions and academic achievement,relationship,DT,IN,18,27,19,9,1,7
chatgpt,chatgpt-200-1_014,"classroom observations, student performance data, and student surveys",observations,NN,NN,31,40,32,8,1,6
chatgpt,chatgpt-200-1_014,we,we,NA,NA,42,42,42,1,0,0
chatgpt,chatgpt-200-1_014,significance testing,testing,NN,NA,45,46,46,2,1,0
chatgpt,chatgpt-200-1_014,positive teacher-student interactions,interactions,NN,NA,50,54,54,4,3,0
chatgpt,chatgpt-200-1_014,higher levels of academic achievement,levels,JJR,IN,58,62,59,5,1,3
chatgpt,chatgpt-200-1_014,The findings of this study,findings,DT,IN,64,68,65,5,1,3
chatgpt,chatgpt-200-1_014,insights,insights,NA,NA,71,71,71,1,0,0
chatgpt,chatgpt-200-1_014,the importance of positive teacher-student relationships in education,importance,DT,IN,73,82,74,9,1,7
chatgpt,chatgpt-200-1_014,educators and policymakers,educators,NA,CC,85,87,85,3,0,2
chatgpt,chatgpt-200-1_014,effective teaching strategies,strategies,NN,NA,90,92,92,3,2,0
chatgpt,chatgpt-200-1_014,that foster student success,success,NN,NA,93,96,96,4,3,0
chatgpt,chatgpt-200-1_015,Aging population and the associated healthcare challenges,population,VBG,CC,1,7,2,7,1,5
chatgpt,chatgpt-200-1_015,interest in exploring innovative solutions to support healthy aging,interest,NA,IN,10,18,10,9,0,8
chatgpt,chatgpt-200-1_015,This research project,project,NN,NA,20,22,22,3,2,0
chatgpt,chatgpt-200-1_015,the effects of technology-based interventions on the well-being and independence of older adults,effects,DT,IN,26,42,27,15,1,13
chatgpt,chatgpt-200-1_015,health outcomes,outcomes,NN,NA,46,47,47,2,1,0
chatgpt,chatgpt-200-1_015,life measures,measures,NN,NA,56,57,57,2,1,0
chatgpt,chatgpt-200-1_015,we,we,NA,NA,59,59,59,1,0,0
chatgpt,chatgpt-200-1_015,significance testing,testing,NN,NA,62,63,63,2,1,0
chatgpt,chatgpt-200-1_015,older adults who engage in technology-based interventions experience,adults,JJR,WP,67,76,68,9,1,7
chatgpt,chatgpt-200-1_015,well-being and greater independence,independence,JJR,NA,78,83,83,5,4,0
chatgpt,chatgpt-200-1_015,those without access to such interventions,those,NA,IN,86,91,86,6,0,5
chatgpt,chatgpt-200-1_015,The findings of this study,findings,DT,IN,93,97,94,5,1,3
chatgpt,chatgpt-200-1_015,insights into the potential of technology,insights,NA,IN,100,105,100,6,0,5
chatgpt,chatgpt-200-1_015,healthy aging,aging,JJ,NA,108,109,109,2,1,0
chatgpt,chatgpt-200-1_015,the development of tailored interventions for older populations,development,DT,IN,112,119,113,8,1,6
chatgpt,chatgpt-200-1_016,Psychological well-being and mental health,being,HYPH,CC,1,7,4,6,2,3
chatgpt,chatgpt-200-1_016,essential aspects of overall health and functioning,aspects,JJ,IN,9,15,10,7,1,5
chatgpt,chatgpt-200-1_016,This research project,project,NN,NA,17,19,19,3,2,0
chatgpt,chatgpt-200-1_016,the impact of physical exercise on mental well-being,impact,DT,IN,23,32,24,9,1,7
chatgpt,chatgpt-200-1_016,"mental health assessments, exercise patterns, and well-being measures",assessments,NN,NN,36,47,38,9,2,6
chatgpt,chatgpt-200-1_016,we,we,NA,NA,49,49,49,1,0,0
chatgpt,chatgpt-200-1_016,significance testing,testing,NN,NA,52,53,53,2,1,0
chatgpt,chatgpt-200-1_016,individuals who engage in regular physical exercise experience better mental well-being,individuals,NA,WP,57,69,57,12,0,11
chatgpt,chatgpt-200-1_016,those with a sedentary lifestyle,those,NA,IN,72,76,72,5,0,4
chatgpt,chatgpt-200-1_016,The findings of this study,findings,DT,IN,78,82,79,5,1,3
chatgpt,chatgpt-200-1_016,insights into the relationship between exercise and mental health,insights,NA,IN,85,93,85,9,0,8
chatgpt,chatgpt-200-1_016,individuals and healthcare professionals,individuals,NA,CC,96,99,96,4,0,3
chatgpt,chatgpt-200-1_016,physical activity,activity,JJ,NA,102,103,103,2,1,0
chatgpt,chatgpt-200-1_016,a means of enhancing mental well-being,means,DT,IN,105,112,106,7,1,5
chatgpt,chatgpt-200-1_017,The transportation sector,sector,NN,NA,1,3,3,3,2,0
chatgpt,chatgpt-200-1_017,a significant contributor to greenhouse gas emissions and air pollution,contributor,JJ,TO,5,14,7,10,2,7
chatgpt,chatgpt-200-1_017,This research project,project,NN,NA,16,18,18,3,2,0
chatgpt,chatgpt-200-1_017,the impact of electric vehicles  on environmental sustainability,impact,DT,IN,22,32,23,8,1,6
chatgpt,chatgpt-200-1_017,"emissions data, EV adoption rates, and energy consumption patterns",data,NNS,NNP,36,46,37,9,1,7
chatgpt,chatgpt-200-1_017,we,we,NA,NA,48,48,48,1,0,0
chatgpt,chatgpt-200-1_017,significance testing,testing,NN,NA,51,52,52,2,1,0
chatgpt,chatgpt-200-1_017,the widespread adoption of EVs,adoption,JJ,IN,56,60,58,5,2,2
chatgpt,chatgpt-200-1_017,reductions in carbon emissions,reductions,NA,IN,63,66,63,4,0,3
chatgpt,chatgpt-200-1_017,conventional vehicles,vehicles,JJ,NA,69,70,70,2,1,0
chatgpt,chatgpt-200-1_017,The findings of this study,findings,DT,IN,72,76,73,5,1,3
chatgpt,chatgpt-200-1_017,insights into the environmental benefits of EVs,insights,NA,IN,79,85,79,7,0,6
chatgpt,chatgpt-200-1_017,policymakers and stakeholders,policymakers,NA,CC,88,90,88,3,0,2
chatgpt,chatgpt-200-1_017,sustainable transportation alternatives,alternatives,NN,NA,93,95,95,3,2,0
chatgpt,chatgpt-200-1_018,The concept of emotional intelligence,concept,DT,IN,1,5,2,5,1,3
chatgpt,chatgpt-200-1_018,recognition,recognition,NA,NA,8,8,8,1,0,0
chatgpt,chatgpt-200-1_018,a crucial skill for effective leadership and interpersonal relationships,skill,JJ,IN,10,18,12,9,2,6
chatgpt,chatgpt-200-1_018,This research project,project,NN,NA,20,22,22,3,2,0
chatgpt,chatgpt-200-1_018,the impact of emotional intelligence training on leadership effectiveness,impact,DT,IN,26,34,27,9,1,7
chatgpt,chatgpt-200-1_018,leadership assessments,assessments,NN,NA,38,39,39,2,1,0
chatgpt,chatgpt-200-1_018,participation records,records,NN,NA,42,43,43,2,1,0
chatgpt,chatgpt-200-1_018,we,we,NA,NA,49,49,49,1,0,0
chatgpt,chatgpt-200-1_018,significance testing,testing,NN,NA,52,53,53,2,1,0
chatgpt,chatgpt-200-1_018,leaders who undergo emotional intelligence training,leaders,NA,WP,57,62,57,6,0,5
chatgpt,chatgpt-200-1_018,"higher levels of leadership effectiveness, employee satisfaction, and team performance",levels,JJR,IN,64,75,65,10,1,8
chatgpt,chatgpt-200-1_018,those who do not engage in such training,those,NA,WP,78,85,78,8,0,7
chatgpt,chatgpt-200-1_018,The findings of this study,findings,DT,IN,87,91,88,5,1,3
chatgpt,chatgpt-200-1_018,insights into the benefits of emotional intelligence development for leaders,insights,NA,IN,94,103,94,10,0,9
chatgpt,chatgpt-200-1_018,organizations,organizations,NA,NA,106,106,106,1,0,0
chatgpt,chatgpt-200-1_018,leadership development programs,programs,NN,NA,109,111,111,3,2,0
chatgpt,chatgpt-200-1_019,Political polarization,polarization,JJ,NA,1,2,2,2,1,0
chatgpt,chatgpt-200-1_019,potential implications for democratic processes and societal cohesion,implications,JJ,IN,9,16,10,8,1,6
chatgpt,chatgpt-200-1_019,This research project,project,NN,NA,18,20,20,3,2,0
chatgpt,chatgpt-200-1_019,the impact of political echo chambers on public opinion formation,impact,DT,IN,24,33,25,10,1,8
chatgpt,chatgpt-200-1_019,social media data,data,NNS,NA,37,39,39,3,2,0
chatgpt,chatgpt-200-1_019,we,we,NA,NA,49,49,49,1,0,0
chatgpt,chatgpt-200-1_019,significance testing,testing,NN,NA,52,53,53,2,1,0
chatgpt,chatgpt-200-1_019,exposure,exposure,NA,NA,57,57,57,1,0,0
chatgpt,chatgpt-200-1_019,to echo chambers,chambers,VB,NA,58,60,60,3,2,0
chatgpt,chatgpt-200-1_019,political attitudes and polarization,attitudes,JJ,CC,62,65,63,4,1,2
chatgpt,chatgpt-200-1_019,The findings of this study,findings,DT,IN,67,71,68,5,1,3
chatgpt,chatgpt-200-1_019,insights into the role of social media in shaping political discourse and inform strategies to foster diverse and inclusive public dialogue,insights,NA,IN,74,94,74,21,0,20
chatgpt,chatgpt-200-1_020,Climate change,change,NN,NA,1,2,2,2,1,0
chatgpt,chatgpt-200-1_020,significant challenges to agricultural productivity and food security,challenges,JJ,IN,4,11,5,8,1,6
chatgpt,chatgpt-200-1_020,This research project,project,NN,NA,13,15,15,3,2,0
chatgpt,chatgpt-200-1_020,the impact of climate-smart agriculture practices on crop resilience,impact,DT,IN,19,29,20,10,1,8
chatgpt,chatgpt-200-1_020,"agricultural data, climate variables",data,JJ,NN,33,37,34,4,1,2
